index,type,type,name,usage(KB),total(KB)
359,  xmodel,xmodel,vehicle_80s_sedan1_silv_hood,11.5,11.5
360,  xmodel,xmodel,vehicle_80s_sedan1_silv_trunk,12.2,12.2
361,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_lf,15.4,15.4
362,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_lb,15.4,15.4
363,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_rf,16.4,16.4
364,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_rb,15.4,15.4
365,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_lf,1.9,1.9
366,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_lf_dam,1.7,1.7
367,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_rf,1.9,1.9
368,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_rf_dam,1.7,1.7
369,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_lb,2.4,2.4
370,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_lb_dam,2.4,2.4
371,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_rb,2.4,2.4
372,  xmodel,xmodel,vehicle_80s_sedan1_silv_light_rb_dam,2.4,2.4
373,  xmodel,xmodel,vehicle_80s_sedan1_silv_bumper_f,10.6,10.6
374,  xmodel,xmodel,vehicle_80s_sedan1_silv_bumper_b,12.2,12.2
375,  xmodel,xmodel,vehicle_80s_sedan1_silv_mirror_l,6.1,6.1
376,  xmodel,xmodel,vehicle_80s_sedan1_silv_mirror_r,6.1,6.1
377,  xmodel,xmodel,vehicle_80s_sedan1_glass_f,2.9,3.0
378,  xmodel,xmodel,vehicle_80s_sedan1_glass_f_dam,2.9,2.9
379,  xmodel,xmodel,vehicle_80s_sedan1_glass_b,3.1,3.1
380,  xmodel,xmodel,vehicle_80s_sedan1_glass_b_dam,2.9,2.9
381,  xmodel,xmodel,vehicle_80s_sedan1_glass_lf,1.4,1.4
382,  xmodel,xmodel,vehicle_80s_sedan1_glass_lf_dam,1.4,1.4
383,  xmodel,xmodel,vehicle_80s_sedan1_glass_rf,1.4,1.4
384,  xmodel,xmodel,vehicle_80s_sedan1_glass_rf_dam,1.4,1.4
385,  xmodel,xmodel,vehicle_80s_sedan1_glass_lb,1.2,1.2
386,  xmodel,xmodel,vehicle_80s_sedan1_glass_lb_dam,1.2,1.2
387,  xmodel,xmodel,vehicle_80s_sedan1_glass_rb,1.2,1.2
388,  xmodel,xmodel,vehicle_80s_sedan1_glass_rb_dam,1.2,1.2
389,  xmodel,xmodel,vehicle_80s_wagon1_glass_lb2_dam,1.1,1.1
390,  xmodel,xmodel,vehicle_80s_wagon1_glass_rb2_dam,1.1,1.1
391,  xmodel,xmodel,vehicle_80s_wagon1_green_destroyed,414.0,414.0
392,  xmodel,xmodel,vehicle_80s_wagon1_green_hood,12.0,12.0
393,  xmodel,xmodel,vehicle_80s_wagon1_green_door_lf,18.6,18.6
394,  xmodel,xmodel,vehicle_80s_wagon1_green_door_lb,15.2,15.2
395,  xmodel,xmodel,vehicle_80s_wagon1_green_door_rf,18.0,18.0
396,  xmodel,xmodel,vehicle_80s_wagon1_green_door_rb,15.2,15.2
397,  xmodel,xmodel,vehicle_80s_wagon1_green_light_lb,1.0,1.0
398,  xmodel,xmodel,vehicle_80s_wagon1_green_light_lb_dam,1.6,1.6
399,  xmodel,xmodel,vehicle_80s_wagon1_green_light_rb,1.0,1.0
400,  xmodel,xmodel,vehicle_80s_wagon1_green_light_rb_dam,1.6,1.6
401,  xmodel,xmodel,vehicle_80s_wagon1_green_bumper_f,11.2,11.2
402,  xmodel,xmodel,vehicle_80s_wagon1_green_bumper_b,13.2,13.2
403,  xmodel,xmodel,vehicle_80s_wagon1_green_mirror_l,5.7,5.7
404,  xmodel,xmodel,vehicle_80s_wagon1_green_mirror_r,5.8,5.8
405,  xmodel,xmodel,vehicle_80s_wagon1_glass_f,4.6,4.6
406,  xmodel,xmodel,vehicle_80s_wagon1_glass_f_dam,4.7,4.7
407,  xmodel,xmodel,vehicle_80s_wagon1_glass_b,4.6,4.6
408,  xmodel,xmodel,vehicle_80s_wagon1_glass_b_dam,4.4,4.4
409,  xmodel,xmodel,vehicle_80s_wagon1_glass_lf,1.2,1.2
410,  xmodel,xmodel,vehicle_80s_wagon1_glass_lf_dam,1.4,1.4
411,  xmodel,xmodel,vehicle_80s_wagon1_glass_rf,1.2,1.2
